Name,Current Club,Position,Age,ca,pa,Nationality,Club,Loan Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off the ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Consistency,Dirtiness,Important Matches,Injury Proneness,Versatility,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out(Tendency),Puching(Tendency),Throwing,Adaptability,Ambition,Controversy,Loyalty,Pressure,Professionalism,Sportsmanship,Temperament,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Reputation,Home Reputation,World Reputation,RCA,D.O.B,International Appearances,International Goal,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Shooting Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Darren Randolph,Bournemouth,GK,36,127,137,"Republic of Ireland,United States",Bournemouth,,2,1,3,2,11,5,6,1,10,3,11,2,5,11,10,10,12,13,9,9,10,15,5,14,11,14,10,9,9,14,15,15,12,9,13,15,12,1,11,5,1,14,14,13,11,14,13,14,16,11,10,11,15,10,12,15,8,15,11,11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,98,11,20,6350,6200,5000,127,1987/5/12,50,0,7.3,14.3,9,8.3,8.7,8.3,10.5,11,15,14.3,9,11,13.5,11,14,12
Gavin Kilkenny,Bournemouth,DM/M C,23,112,137,Republic of Ireland,Bournemouth,,8,9,10,9,13,7,8,11,7,10,13,9,12,12,11,10,11,14,11,14,13,14,9,7,11,11,10,13,12,12,11,7,12,13,14,10,11,6,9,7,10,2,1,2,3,3,2,3,1,2,1,1,12,14,5,14,12,12,14,11,1,1,1,1,1,1,18,1,20,1,1,14,1,1,170,67,10,20,5600,6000,3750,112,2000/2/1,0,0,11,11.8,12.5,12,11.3,11.7,7.5,11.5,2,11.8,12.5,11.5,1.5,3,2.5,1.5
Adam Smith,Bournemouth,D/WB RL,32,129,136,England,Bournemouth,,6,12,12,7,13,6,7,9,3,12,13,4,13,13,10,13,13,13,11,9,12,14,9,11,13,13,13,16,14,13,11,7,16,14,16,9,15,10,14,5,13,1,2,3,2,3,1,3,1,2,1,1,12,14,2,8,11,15,13,11,1,19,14,20,16,18,1,1,1,8,1,1,5,1,180,79,8,20,6450,6450,4750,117,1991/4/29,0,0,12.7,12.3,14,10.3,11,12.7,7,12.7,2,12.3,14,12.7,2.5,2,2,1
Joe Rothwell,Bournemouth,DM/M C,28,130,135,England,Bournemouth,,13,10,15,11,13,11,6,11,4,5,12,11,11,14,8,11,12,9,10,14,9,15,14,9,14,9,14,16,17,14,14,10,16,15,13,11,12,4,9,12,8,1,3,3,3,2,2,1,2,1,1,1,8,11,4,10,10,15,10,10,1,1,1,1,1,1,16,11,20,11,14,14,11,1,185,77,12,20,6500,6500,5000,123,1995/1/11,0,0,8.3,13,16,13.3,11.3,14,8,11.8,1.5,13,16,11.8,3,3,1.5,1.5
Ben Greenwood,Bournemouth,D/WB L,21,100,135,"Republic of Ireland,England",Bournemouth,,8,10,8,9,9,5,12,10,12,14,8,4,9,9,13,14,11,9,12,8,9,13,9,9,11,8,11,12,16,10,10,8,13,15,14,8,13,11,1,9,17,3,2,2,1,2,2,1,3,1,3,2,10,11,6,12,9,9,11,18,1,20,1,1,17,1,1,13,1,1,1,1,1,1,169,64,20,7,5000,5000,2650,93,2002/3/26,0,0,10.3,10.5,15.5,8.3,9.7,8.7,10,11.7,2,10.5,15.5,11.7,2,1,2.5,2
Kieffer Moore,Bournemouth,S ,30,125,132,"Wales,England",Bournemouth,,7,10,11,13,13,8,15,12,9,10,12,14,8,12,14,13,14,13,12,11,12,16,11,11,14,11,14,13,11,8,13,17,16,12,13,15,13,13,14,8,13,2,2,3,3,4,3,3,3,2,2,3,14,15,4,12,15,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,20,196,83,10,20,6250,7250,5250,125,1992/8/8,34,10,9.7,12.3,11.5,11.3,13.3,12,16,13.5,3,12.3,11.5,13.5,2.5,3,3,3
Ionu? Radu,Bournemouth,GK,26,125,136,Romania,FC Internazionale Milano,Bournemouth,2,1,1,1,8,4,5,2,2,3,9,8,2,10,10,13,12,11,9,12,9,13,1,11,5,13,14,13,13,13,15,14,14,13,15,12,12,5,10,9,4,12,13,12,8,14,14,13,16,13,13,14,12,13,5,12,10,16,15,9,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,70,10,20,6250,6250,5000,125,35578,4,0,6,13.75,13,7.333333333,5.666666667,6.333333333,9.5,11.66666667,14.5,13.75,13,11.66666667,12.5,8,13,14
Bukayo Saka,Arsenal,AM RL,21,173,186,"England,Nigeria",Arsenal,,13,14,16,14,15,9,7,16,6,9,13,15,10,16,12,16,12,14,14,15,16,17,16,9,16,10,17,15,17,16,17,9,18,15,16,12,14,8,15,4,18,1,2,2,1,1,3,1,2,2,3,2,9,16,5,16,16,17,15,16,1,10,1,1,12,10,1,12,8,12,19,1,20,1,178,69,20,13,8650,8650,7750,172,2001/9/5,28,11,9.7,15.3,16,14.7,14.7,15.7,8,15.3,1.5,15.3,16,15.3,2,1,1,2.5
William Saliba,Arsenal,D C,22,164,182,"France,Cameroon",Arsenal,,6,10,11,9,14,6,16,11,6,15,13,10,16,13,15,17,14,17,15,12,15,15,11,10,8,14,17,15,14,14,15,16,14,14,16,16,15,10,14,9,7,2,2,2,1,1,4,1,1,1,2,3,15,15,6,11,14,14,13,15,1,1,20,14,1,1,1,1,1,1,1,1,1,1,192,83,11,20,8200,8200,6750,164,2001/3/24,8,0,15,15.3,14,12,11.3,12.7,16,15.5,1,15.3,14,15.5,2,1,1.5,3.5
Martin ?degaard,Arsenal,M/AM C,24,173,180,Norway,Arsenal,,16,15,16,13,18,14,8,17,4,10,17,14,9,18,8,18,10,16,15,19,17,16,16,14,17,9,18,15,13,16,15,9,13,13,15,11,15,4,13,7,13,3,3,2,1,1,2,4,3,2,1,3,16,16,6,14,14,19,17,18,1,1,1,1,1,1,13,10,20,13,10,18,14,8,178,68,20,10,8650,8650,7750,172,1998/12/17,51,2,9.3,14.3,13,17.3,15.3,17.3,8.5,15.7,3.5,14.3,13,15.7,2.5,1,2,2.5
Gabriel Martinelli,Arsenal,AM/S RL,22,160,180,"Brazil,Italy",Arsenal,,14,12,15,14,15,10,13,8,3,5,12,11,5,16,14,13,14,13,12,13,13,17,15,6,16,7,16,17,17,16,14,11,13,16,16,11,15,10,14,10,12,2,2,4,2,3,1,1,3,2,4,1,16,17,5,12,15,17,14,14,1,1,1,1,1,1,1,12,1,10,20,13,16,17,180,72,10,20,8000,8000,6750,154,2001/6/18,6,0,5.7,14.3,16.5,13.3,14.3,15.3,12,14.2,2,14.3,16.5,14.2,3,2,2.5,1
Kai Havertz,Arsenal,M/AM/S C,24,155,180,Germany,Arsenal,,10,10,14,11,18,11,14,11,8,8,16,12,10,17,11,15,11,12,10,17,14,10,15,7,15,11,15,13,14,13,13,14,16,15,15,14,10,8,13,4,16,2,1,1,3,2,3,2,1,1,2,2,12,14,5,12,14,15,15,17,1,1,1,1,1,1,10,12,20,14,12,19,14,16,191,84,20,9,7750,7900,7250,149,1999/6/11,37,13,9.7,13.8,14.5,16,12.7,16.3,14,12.5,1.5,13.8,14.5,12.5,1,3,2,2.5
Ethan Nwaneri,Arsenal,M/AM/S RLC,16,115,180,"England,Nigeria",Arsenal,,11,10,14,12,12,11,5,12,1,5,13,4,8,14,11,9,9,11,8,13,8,13,14,7,11,6,13,12,15,14,11,6,10,14,10,6,10,8,20,5,14,1,1,1,1,2,2,2,1,3,2,1,15,16,4,12,11,10,11,15,1,1,1,1,1,1,1,14,20,14,16,18,16,16,169,55,20,8,5750,5750,4000,92,2007/3/21,0,0,6.3,10.3,14.5,13.3,11.3,13.3,5.5,10,1.5,10.3,14.5,10,1,1,1.5,1.5
Declan Rice,Arsenal,DM/M C,24,171,179,"England,Republic of Ireland",Arsenal,,7,11,14,9,14,8,14,9,10,15,15,11,17,15,13,17,15,17,15,14,17,17,10,16,16,17,19,17,13,13,13,14,18,14,17,14,18,12,15,3,14,3,3,1,3,3,1,3,1,1,2,3,12,16,5,15,16,16,16,14,1,1,15,1,1,1,20,1,19,1,1,1,1,1,185,80,11,20,8550,8550,7500,170,1999/1/14,43,3,16.3,14.3,13.5,13,14,14.3,14,16.7,2,14.3,13.5,16.7,2,3,3,2
Gabriel Jesus,Arsenal,AM/S RL,26,165,175,Brazil,Arsenal,,8,12,16,14,15,11,15,12,4,7,14,13,8,16,14,16,14,14,14,14,15,15,16,12,16,10,18,18,15,16,15,10,15,15,15,14,13,12,14,9,12,1,2,1,1,3,2,4,3,1,1,1,15,13,8,12,14,14,14,15,1,1,1,1,1,1,1,1,1,1,15,11,16,20,175,73,14,20,8250,8100,7850,165,1997/4/3,59,19,8.3,15,15,14.7,14.7,15.7,12.5,15.3,3.5,15,15,15.3,1.5,1,2,1.5
Jurri?n Timber,Arsenal,D RLC,22,148,173,"The Netherlands,Cura?ao",Arsenal,,4,9,10,7,14,9,13,7,7,13,15,8,13,15,13,14,14,15,14,12,14,16,12,10,13,15,16,15,14,15,13,13,12,15,14,12,15,6,12,10,11,2,2,2,3,1,1,3,3,1,2,2,18,12,4,13,15,14,15,8,1,16,20,19,10,14,14,1,12,10,1,1,1,1,179,79,10,20,7400,7400,6100,142,2001/6/17,15,0,13.7,13.5,14.5,13,11.7,13,13,14.7,3,13.5,14.5,14.7,2,3,1.5,1.5
Myles Lewis-Skelly,Arsenal,DM/M C,16,102,170,"England,Barbados",Arsenal,,10,9,14,9,13,10,8,10,3,7,12,7,10,14,13,10,9,11,8,12,9,14,13,9,11,8,13,12,14,14,13,10,15,13,11,10,11,6,5,13,8,3,2,3,2,2,2,1,1,2,3,3,8,15,7,10,9,12,12,16,1,1,1,1,1,1,17,1,20,1,1,1,1,1,178,63,20,9,5000,5000,3750,100,2006/9/26,0,0,8.3,12,13.5,12.3,10.3,13.7,9,10.5,1,12,13.5,10.5,2.5,2,2.5,2.5
Oleksandr Zinchenko,Arsenal,D/WB LC,26,161,165,Ukraine,Arsenal,,12,13,14,10,15,13,12,13,9,11,15,9,13,16,13,16,15,16,14,16,15,18,13,14,16,11,16,16,14,14,14,10,13,13,15,10,15,12,13,12,18,3,2,1,1,2,3,1,1,2,2,3,18,15,6,13,13,15,14,15,1,20,1,8,18,8,15,14,15,14,14,14,14,7,175,61,20,12,8050,8050,6750,151,1996/12/15,53,8,11.7,13.3,13.5,14.7,14,15,11,15.7,1,13.3,13.5,15.7,1.5,1,2.5,3
Jorginho,Arsenal,DM/M C,31,152,165,"Italy,Brazil",Arsenal,,11,12,12,8,17,10,7,9,2,10,16,14,14,16,10,16,14,16,14,18,17,15,13,14,15,14,17,16,11,14,14,9,12,12,14,9,15,11,15,8,6,4,3,2,3,2,1,3,3,2,1,2,11,15,7,12,13,17,13,12,1,1,1,1,1,1,20,1,19,1,1,10,1,1,180,67,9,20,7600,7600,6750,148,1991/12/20,48,5,12.7,12.8,11.5,15.7,13,15,8,15.5,3,12.8,11.5,15.5,2.5,3,3,1.5
Emile Smith Rowe,Arsenal,M/AM RLC,23,148,164,England,Arsenal,,11,12,15,12,14,12,5,13,2,6,15,11,8,15,13,14,11,13,12,15,13,15,15,8,15,8,15,15,16,15,15,8,13,14,14,9,13,6,13,13,15,1,1,2,3,1,3,1,1,1,3,2,10,15,6,15,15,15,15,15,1,1,1,1,1,1,1,14,18,14,18,20,16,8,182,76,11,20,7400,7400,6250,143,2000/7/28,3,1,7.3,13.3,15,15,13.3,14.7,6.5,13.3,1,13.3,15,13.3,1.5,3,1,2.5
Thomas Partey,Arsenal,D/DM/M RC,30,159,162,Ghana,Arsenal,,8,11,14,10,15,9,13,15,10,12,15,8,14,16,13,16,14,16,14,14,16,14,13,12,15,15,16,15,13,13,14,14,11,13,14,15,15,10,13,11,16,3,3,1,4,3,4,3,2,1,2,1,14,14,9,13,14,14,12,15,1,1,8,16,1,10,20,1,18,8,1,10,8,1,185,80,11,20,7950,7950,7250,158,1993/6/13,43,12,13.7,14,13,14,13.7,15,13.5,15,2.5,14,13,15,2,4,3,2.5
Aaron Ramsdale,Arsenal,GK,25,155,162,England,Arsenal,,4,2,1,2,12,5,6,2,2,3,13,2,1,12,12,13,16,14,13,15,14,17,10,13,9,13,15,10,8,16,12,14,11,7,12,15,15,7,15,4,15,14,15,15,10,16,16,17,16,11,10,16,17,16,5,13,17,16,12,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,85,8,20,7750,7750,6500,157,1998/5/14,3,0,5.7,13.8,7.5,12.7,8.3,8.3,10,14.7,16.5,13.8,7.5,14.7,15,10,15,16
Benjamin White,Arsenal,D RC,25,155,162,England,Arsenal,,3,11,11,5,14,3,15,6,7,15,14,5,15,14,13,17,15,16,14,13,15,16,13,11,12,16,16,14,14,14,13,13,13,14,15,14,14,7,12,5,14,3,3,1,4,3,3,3,2,1,2,3,17,14,5,10,14,15,12,13,1,1,19,20,1,12,13,1,12,1,1,1,1,1,185,78,10,20,7750,7750,6500,150,1997/10/8,4,0,15.3,14,14,13.3,11,13,14,15.5,2.5,14,14,15.5,2,4,3,3
Gabriel,Arsenal,D C,25,156,160,Brazil,Arsenal,,4,7,10,6,12,4,17,6,7,15,13,7,16,13,16,14,16,12,13,13,14,13,8,11,9,15,16,14,13,13,14,17,13,15,16,17,15,15,12,8,4,1,3,3,1,3,1,2,1,1,3,1,15,14,8,15,12,14,8,7,1,1,20,1,1,1,1,1,1,1,1,1,1,1,190,78,20,10,7800,7800,6500,155,1997/12/19,0,0,15.3,15,14,11.3,9,11.7,17,14.3,1.5,15,14,14.3,3,1,2,1
Takehiro Tomiyasu,Arsenal,D/WB RLC,24,150,160,Japan,Arsenal,,7,11,13,8,12,6,12,9,11,13,12,7,15,13,13,15,15,14,14,12,13,15,13,7,12,14,16,16,13,14,13,14,16,13,15,13,15,10,12,8,16,4,1,2,2,1,1,2,2,2,4,2,18,14,4,15,14,17,17,14,1,19,15,20,15,16,10,1,1,1,1,1,1,1,188,78,16,20,7500,7400,6000,144,1998/11/5,28,1,14,13.8,13,12.3,11.3,12.7,13,14.7,2,13.8,13,14.7,1.5,2,2.5,1.5
Fábio Vieira,Arsenal,M/AM RLC,23,148,160,Portugal,Arsenal,,14,14,15,12,16,14,8,13,5,6,16,13,8,17,12,14,12,15,12,16,15,13,15,10,14,9,13,14,14,15,15,6,13,14,14,9,14,6,15,6,13,3,4,3,2,1,3,2,3,3,3,3,12,12,5,16,16,15,12,12,1,1,1,1,1,1,1,13,20,11,15,19,18,10,173,64,20,9,7400,7400,6000,144,2000/5/30,0,0,7.7,13.3,14,15.7,13.7,16,7,13.2,2.5,13.3,14,13.2,3.5,2,2,3
